N/A
A & M Cons High School in College Station, TX
Corrigan-Camden High School in Corrigan, TX
Corrigan-Camden J H in Corrigan, TX
Corrigan-Camden Pri in Corrigan, TX
Corsicana H Ighigh School in Corsicana, TX
Corwin International Magnet School in Pueblo, CO
Cotopaxi Junior-Senior High School in Cotopaxi, CO
Cotton Center School in Cotton Center, TX
Cottonwood Classical Prep in Albuquerque, NM
Cottonwood Elem in Paola, KS
Cottonwood Intermediate School in Liberal, KS
Cottonwood Public School in Coalgate, OK
Cottonwood Valley Charter in Socorro, NM
Cotulla High School in Cotulla, TX
Couch High in Myrtle, MO
Council Grove Junior Senior High School in Council Grove, KS
Country View Elem in Winfield, KS
County Residential Center in Mckinney, TX
Court Reporting Institute of St. Louis - Court Reporting Institute of Dallas in Dallas, TX
Cove Charter Academy in Copperas Cove, TX
Covington Co Vocational Technical in Collins, MS
Covington County Alternative School in Collins, MS
Covington High School in Covington, LA
Covington M S in Austin, TX
Covington School in Covington, TX
Covington-Douglas High School in Covington, OK
Cowen Early Childhood Center in Sweetwater, TX
Coweta High School in Coweta, OK
Coweta Intermediate High School in Coweta, OK
Coweta Jhs in Coweta, OK
Cowley County Community College and Area Vocational-Technical School - Cowley County Community College and Area VocationalTechnical School at Mulvane Bloomenshine Center in Mulvane, KS
Cowley County Community College and Area Vocational-Technical School - Cowley County Community College and Area VocationalTechnical School at Mulvane Technology Center North in Mulvane, KS
Cowley County Community College and Area Vocational-Technical School - Cowley County Community College and Area VocationalTechnical School at Mulvane Technology Center South in Mulvane, KS
Cowley County Community College and Area Vocational-Technical School - Cowley County Community College and Area VocationalTechnical School at Winfield Allied Health in Winfield, KS
Cowley County Community College and Area Vocational-Technical School - Cowley County Community College Southside Education Center in Wichita, KS
Cox College - Drury University Branch Campus Cabool in Cabool, MO
Cox College - Drury University Branch CampusMonett in Monett, MO
Cox Int in Spring, TX
Coyle High School in Coyle, OK
Craig High in Craig, MO
Crandall Compass Academy in Crandall, TX
Crandall High School in Crandall, TX
Crane High in Crane, MO
Crane High School in Crane, TX
Cranfills Gap School in Cranfills Gap, TX
Crave Beauty Academy - in Ballwin, MO
Crawford High School in Crawford, TX
Creative Ed Prep #1 in Albuquerque, NM
Creativity Challenge Community in Denver, CO
Creede School in Creede, CO
Creekside Int in League City, TX
Creekside Junior High in Pearl River, LA
Creekside Park J H in The Woodlands, TX
Creekview High School in Carrollton, TX
Creekwood Early Childhood Ctr in Broken Arrow, OK
Cremer Therapeutic Comm Center in Fulton, MO
Crescent City School of Gaming & Bartending - Gulfport in Gulfport, MS
Crescent City School of Gaming & Bartending - Robinsonville in Robinsonville, MS
Crescent High School in Crescent, OK
Crescent Leadership Academy in New Orleans, LA
Crest Academy in Salida, CO
Crest High in Colony, KS
Crest Ridge High in Centerview, MO
Crested Butte Secondary School in Crested Butte, CO
Crestone Charter School in Crestone, CO
Crestview Elem in Shawnee Mission, KS
Cripple Creek-Victor Junior-Senior High School in Cripple Creek, CO
Crittenton Treatment Center in Kansas City, MO
Crocker High in Crocker, MO
Crockett Early Education School in Grand Prairie, TX
Crockett Early Headstart in Abilene, TX
Crockett High School in Austin, TX
Crockett High School in Crockett, TX
Crockett Int in Paris, TX
Crockett J H in Crockett, TX
Crooked Oak High School in Oklahoma City, OK
Crosby Crossroads Academy in Crosby, TX
Crosby Daep in Humble, TX
Crosby High School in Crosby, TX
Crosby Kindergarten Center in Crosby, TX
Crosbyton Daep in Crosbyton, TX
Crosbyton Secondary in Crosbyton, TX
Cross Plains High School in Cross Plains, TX
Cross Roads High School in Malakoff, TX
Cross Roads J H in Malakoff, TX
Cross Timbers Int in Arlington, TX
Crossland Ninth Grade Center in Granbury, TX
Crossroads Acad Of Kansas City in Kansas City, MO
Crossroads High School in Burleson, TX
Crossroads High School in Copperas Cove, TX
Crossroads in Houston, TX
Crosstimbers Academy in Weatherford, TX
Crosswinds High School in Grand Prairie, TX
Crowder Avts in Neosho, MO
Crowder College - Carthage in Carthage, MO
Crowder College - Cassville in Cassville, MO
Crowder College - Lamar in Lamar, MO
Crowder College - McDonald County in Pineville, MO
Crowder College - Monett in Monett, MO
Crowder College - Mount Vernon in Mount Vernon, MO
Crowder College - Nevada in Nevada, MO
Crowder College - Webb City in Webb City, MO
Crowder High School in Crowder, OK
Crowell School in Crowell, TX
Crowley Alternative School in Crowley, TX
Crowley County Junior And Senior High School in Ordway, CO
Crowley County Primary in Ordway, CO
Crowley County Ward Intermediate in Ordway, CO
Crowley High School in Crowley, LA
Crowley High School in Crowley, TX
Crowley Kindergarten School in Crowley, LA
Crowley Ridge School in Dexter, MO
Crown Pointe Charter Academy in Westminster, CO
Crownpoint High in Crownpoint, NM
Crowville School in Crowville, LA
Crutcho Public School in Oklahoma City, OK
Cryar Intermediate in Conroe, TX
Crystal Boarding School in Navajo, NM
Crystal City High in Crystal City, MO
Crystal City High School in Crystal City, TX
Crystal Springs High School in Crystal Springs, MS
Ctr. For Educ. Development in Kansas City, MO
Cuba High in Cuba, MO
Cuba High in Cuba, NM
Cuero High School in Cuero, TX
Cuero Int in Cuero, TX
Cuero J H in Cuero, TX
Culinary Institute of America - The , San Antonio in San Antonio, TX
Cumberland Academy in Tyler, TX
Cumberland High School in Tyler, TX
Cumby High School in Cumby, TX
Cunningham Elem in Cunningham, KS
Cunningham High in Cunningham, KS
Cunningham School in Wichita Falls, TX
Cunningham Special Ed Center in Wichita Falls, TX
Current River Career Center in Doniphan, MO
Current River School in Doniphan, MO
Cushing High School in Cushing, OK
Cushing Pre-Kindergarten Schooll in Cushing, OK
Cushing School in Cushing, TX
Custer County High School in Westcliffe, CO
Custer Hill Elem in Fort Riley, KS
Cybertex Institute of Technology - in Killeen, TX
Cy-Fair High School in Cypress, TX
Cypress Academy in New Orleans, LA
Cypress Creek High School in Houston, TX
Cypress Falls High School in Houston, TX
Cypress Grove Int in College Station, TX
Cypress Lakes High School in Katy, TX
Cypress Park High School in Houston, TX
Cypress Ranch High School in Cypress, TX
Cypress Ridge High School in Houston, TX
Cypress Springs High School in Cypress, TX
Cypress Woods High School in Cypress, TX
Cypress-Fairbanks J J A E P in Houston, TX
Cyril High School in Cyril, OK
Cyril Jhs in Cyril, OK
D A E P in Conroe, TX
D High School Freshman Campus in Desoto, TX
Dadeville Sr. High in Dadeville, MO
Daep At Holmgreen in San Antonio, TX
Daep in China Spring, TX
Daep in Eagle Pass, TX
Daep in Gainesville, TX
Daep in La Marque, TX
Daep in Paris, TX
Daep in Plainview, TX
Daep in Plainview, TX
Daep in Progreso, TX
Daggett Montessori in Ft Worth, TX
Dahlonegah Public School in Stilwell, OK
Daingerfield High School in Daingerfield, TX
Daingerfield J H in Daingerfield, TX
Dakota Ridge Senior High School in Littleton, CO
Dale Carnegie & Associates, Inc. - Dale Carnegie Training CB&T in Kansas City, MO
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Corporate Change Catalysts in Denver, CO
Dale Carnegie & Associates, Inc. - Dale Carnegie Training David N. Wright & Associates in Round Rock, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Global Corporate Solutions in Dallas, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Howard, Mohorn & Associates in Collierville, TN
Dale Carnegie & Associates, Inc. - Dale Carnegie Training J.R.S. Business Solutions in San Antonio, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Leadership Training Group in El Paso, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Leadership Training in Amarillo, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Midwest Performance Development in Manchester, MO
Dale Carnegie & Associates, Inc. - Dale Carnegie Training of Houston in Houston, TX
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Paul Phillips & Associates in Mandeville, LA
Dale Carnegie & Associates, Inc. - Dale Carnegie Training Ron Moore & Associates in Norman, OK
Dale Carnegie & Associates, Inc. - Dale Carnegie Training The Winner Institute in Baton Rouge, LA
Dale Carnegie & Associates, Inc. - Dale Carnegie Training W.W. Atwood & Associates in Corpus Christi, TX
Dale Carnegie & Associates, Inc. - John M. Jennings & Associates Dale Carnegie Training in Dallas, TX
Dale Carnegie & Associates, Inc. - Leadership Excellence, Inc. Dale Carnegie Training in Houston, TX
Dale Carnegie & Associates, Inc. - OakRock Leadership, LLC in Manhattan, KS
Dale Carnegie & Associates, Inc. - Ron L. Straughan & Associates, Inc. Dale Carnegie Training in Albuquerque, NM
Dale High School in Dale, OK
Dale Jackson Career Ctr in Lewisville, TX
Dale M Thompson/Trails West S in Kansas City, MO
Dalhart High School in Dalhart, TX
Dalhart Int in Dalhart, TX
Dalhart J H in Dalhart, TX
Dallas Baptist University - DBU North in Carrollton, TX
Dallas Barber and Stylist College - Arlington in Arlington, TX
Dallas Barber and Stylist College - Fort Worth in Fort Worth, TX
Dallas Barber and Stylist College - in Dallas, TX
Dallas Can Academy - Grant East in Dallas, TX
Dallas Can Academy At Carrollton-Farmers Branch in Farmers Branch, TX
Dallas Can Academy At Pleasant Grove in Dallas, TX
Dallas Can Academy Charter in Dallas, TX
Dallas Can Academy Charter-Oak Cliff in Dallas, TX
Dallas Co School For Accelerated Lrng in Dallas, TX
Dallas County Career Ctr. in Louisburg, MO
Dallas County Jjaep Cfb Campus in Dallas, TX
Dallas County Jjaep Desoto Campus in Dallas, TX
Dallas County Jjaep in Dallas, TX
Dallas County Jjaep in Dallas, TX
Dallas County Juvenile Justice in Dallas, TX
Dallas Environmental Science Academy in Dallas, TX
Dallas Prime Prep in Dallas, TX
Dallas Theological Seminary - Austin location (Hill Country Bible Church) in Austin, TX
Dallas Theological Seminary - Houston Extension in Houston, TX
Dallas Theological Seminary - San Antonio location (Community Bible Church) in San Antonio, TX
Damon Isd in Damon, TX
Dan Chadwick Campus in Longview, TX
Dan Powell Int in Everman, TX
Danbury High School in Danbury, TX
Danforth J H in Wimberley, TX
Daniel C Oakes High School--Castle Rock in Castle Rock, CO
Daniel Singleterry Sr in Donna, TX
Daniel Webster High School in Tulsa, OK
D'Arbonne Woods Charter School in Farmerville, LA
Darling Achievement Ctr in Greenville, MS
Darlington Public School in El Reno, OK
Darrouzett Schools in Darrouzett, TX
Datema House in Springfield, MO
Davenport High School in Davenport, OK
David Crockett 5Th Grade Center in Grand Prairie, TX
David H. Hickman High in Columbia, MO
David L Walker Int in Fort Worth, TX
David S Crockett Early Childhood Center in Ennis, TX
David Thibodaux Stem Magnet Academy in Lafayette, LA
David W Carter High School in Dallas, TX
David Wade Correctional Center in Homer, LA
David Williams Jr Career &Tech Cnt in Tunica, MS
Davidson High School in Davidson, OK
Davinci School For Science And The Arts in El Paso, TX
Davis H. Hart Career Ctr. in Mexico, MO
Davis High School Aldine in Houston, TX
Davis High School in Davis, OK
Davis High School in Houston, TX
Davis Intermediate School in Wylie, TX
Davis Magnet School in Jackson, MS
Davis Ninth Grade in Houston, TX
Davy Crockett Regional Juvenile Center in Crockett, TX
Dawson Daep in Corsicana, TX
Dawson High School in Dawson, TX
Dawson School in Welch, TX
Day Head Start in San Angelo, TX
Day Nursery Of Abilene in Abilene, TX
Day Treatment in Independence, MO
Dayton High School in Dayton, TX
Dc Montessori Charter School in Castle Rock, CO
Dcis At Ford in Denver, CO
Dcis At Montbello in Denver, CO
De Beque Undivided High School in De Beque, CO
De Leon High School in De Leon, TX
De Santiago Ec/Pre-K Center in Houston, TX
De Soto High School in De Soto, KS
Dean Leaman J High School in Fulshear, TX
Debakey High School For Health Prof in Houston, TX
Deborah Brown Community School in Tulsa, OK
Decatur Community Jr/Sr High in Oberlin, KS
Decatur High School in Decatur, TX
Deepwater Jr High in Pasadena, TX
Deer Creek High School in Edmond, OK
Deer Creek Intermediate School in Edmond, OK
Deer Creek-Lamont High School in Lamont, OK
Deer Park High School in Deer Park, TX
Deer Park J H in Deer Park, TX
Deer Trail Junior-Senior High School in Deer Trail, CO
Deerfield Elem in Deerfield, KS
Deerfield Elem in Lawrence, KS
Deerfield High in Deerfield, KS
Dekalb High School in Dekalb, TX
Dekalb Jr.-Sr. High in Dekalb, MO
Del City High School in Del City, OK
Del Norte High in Albuquerque, NM
Del Norte High School in Del Norte, CO
Del Rio Freshman School in Del Rio, TX
Del Rio High School in Del Rio, TX
Del Valle High School in Del Valle, TX
Del Valle High School in El Paso, TX
Del Valle Opportunity Ctr in Del Valle, TX
Delasalle Charter School in Kansas City, MO
Delcambre High School in Delcambre, LA
Delco Pri in Austin, TX
Delgado Community College - Charity School of Nursing in New Orleans, LA
Delgado Community College - West Bank Campus in New Orleans, LA
Delhi Charter School in Delhi, LA
Delhi High School in Delhi, LA
Dell Children'S Medical Center in Austin, TX
Dell City School in Dell City, TX
Della Icenhower Int in Arlington, TX
Della Lamb @ Wallace in Kansas City, MO
Della Lamb @ Woodland in Kansas City, MO
Delmar A Cobble School in Columbia, MO
Delmina Woods Youth Facility in Forsyth, MO
Delmont Pre-K And Kindergarten Center in Baton Rouge, LA
Delta Academy in El Paso, TX
Delta Academy Of Applied Learning in Delta, CO
Delta C-7 High in Deering, MO
Delta Charter School in Ferriday, LA
Delta College - Slidell in Slidell, LA
Delta College of Arts & Technology - in Lafayette, LA
Delta County Opportunity School in Delta, CO
Delta High in Delta, MO
Delta High School in Delta, CO
Delta Magnet School Of Fine Arts in Mer Rouge, LA
Delta State University - Coahoma County Higher Ed. Center in Clarksdale, MS
Delta State University - Greenville Higher Ed. Center in Greenville, MS
Delta Vision School in Delta, CO
Deming Cesar Chavez in Deming, NM
Deming High in Deming, NM
Deming Intermediate in Deming, NM
Democracy Prep Louisiana Charter School in Baton Rouge, LA
Denham Springs Freshman High School in Denham Springs, LA
Denham Springs High School in Denham Springs, LA
Denham Springs Junior High School in Denham Springs, LA
Denhamtown Pre-K Center in Bogalusa, LA
Denison High School in Denison, TX
Denison Montessori School in Denver, CO
Denison Public School in Idabel, OK
Denman Junior High School in Mccomb, MS
Denton Co J J A E P in Aubrey, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Denton, TX
Denton Co J J A E P in Justin, TX
Denton Co J J A E P in Little Elm, TX
Denton Co J J A E P in Pilot Point, TX
Denton County Jjaep Cfb Campus in Denton, TX
Denton County Jjaep in Denton, TX
Denton Creek in Roanoke, TX
Denton High School in Denton, TX
Denver Center For 21St Learning At Wyman in Denver, CO
Denver Center For International Studies At Fairmon in Denver, CO
Denver Center For International Studies in Denver, CO
Denver City High School in Denver City, TX
Denver Ctr in Wichita Falls, TX
Denver Discovery School in Denver, CO
Denver Green School in Denver, CO
Denver Language School in Denver, CO
Denver Online High School in Denver, CO
Denver Public Montessori Junior/Senior High School in Denver, CO
Denver School Of Innovation And Sustainable Design in Denver, CO
Denver School Of The Arts in Denver, CO
Depelchin-Richmond in Richmond, TX
Depew High School in Depew, OK
Dequincy High School in Dequincy, LA
Dequincy Primary School in Dequincy, LA
Derby High School in Derby, KS
Derby Hills Elem in Derby, KS
Derby Sixth Grade Center in Derby, KS
Deridder High School in Deridder, LA
Deridder Junior High School in Deridder, LA
Des Moines High in Des Moines, NM
Desoto Alternative Education Center (Daep) in Desoto, TX
Desoto Central High School in Southaven, MS
Desoto Central Primary in Southaven, MS
Desoto Co Career Center East in Olive Branch, MS
Desoto Co Voc Complex in Southaven, MS
Desoto County Alternative Center in Hernando, MS
Desoto High School & Isteam3D in Desoto, TX
Desoto Jr. High in Desoto, MO
Desoto Sr. High in Desoto, MO
Destrehan High School in Destrehan, LA
Detent Ctr in Fort Worth, TX
Detroit High School in Detroit, TX
Detroit J H in Detroit, TX
Developmental Ctr in Mexia, TX
D'Evelyn Junior/Senior High School in Denver, CO
Devers Aep in Devers, TX
Devers Jh in Devers, TX
Devine Daep School in Devine, TX
Devine High School in Devine, TX
Devine Intermediate School in Devine, TX
DeVry University - Austin Center in Austin, TX
DeVry University - Cedar Hill in Cedar Hill, TX
DeVry University - Colorado Springs Center in Colorado Springs, CO
DeVry University - Denver South Center in Greenwood Village, CO
DeVry University - Ft. Worth Center in Ft. Worth, TX
DeVry University - Greenspoint in Houston, TX
DeVry University - Houston Campus in Houston, TX
DeVry University - Houston/Galleria Center in Houston, TX
DeVry University - Irving Campus in Irving, TX
DeVry University - Kansas City Campus in Kansas City, MO
DeVry University - Kansas City Downtown Center in Kansas City, MO
DeVry University - Mesquite in Mesquite, TX
DeVry University - Oklahoma City Center in Oklahoma City, OK
DeVry University - Richardson Center in Plano, TX
DeVry University - San Antonio Center in San Antonio, TX
DeVry University - San Antonio in San Antonio, TX
DeVry University - St. Louis West Center in St. Louis, MO
DeVry University - Sugar Land in Sugar Land, TX
DeVry University - Westminster Campus in Westminster, CO
Dewalt Alternative School in La Porte, TX
Dewar High School in Dewar, OK
Dewey High School in Dewey, OK
Dewey School.-Internat'L. Studies in St Louis, MO
Deweyville High School in Orange, TX
Dewitt-Lavaca Special Ed Co-Op in Yoakum, TX
Dexter Attendance Center in Tylertown, MS
Dexter Elem in Dexter, KS
Dexter High in Dexter, KS
Dexter High in Dexter, MO
Dexter High in Dexter, NM
D'Hanis School in D'Hanis, TX
Diagnostic Ctr. in Hayti, MO
Diagnostic Ctr. in Kennett, MO
Diamond High in Diamond, MO
Diamond Hill-Jarvis High School in Fort Worth, TX
Diaz J H in Hidalgo, TX
Dibble High School in Blanchard, OK
Dibe Yazhi Hablti'N O'Lt'A Inc in Crownpoint, NM
Diberville Senior High School in Biloxi, MS
Diboll High School in Diboll, TX
Diboll J H in Diboll, TX
Diboll Pri in Diboll, TX
Dickinson Continuation Center in Dickinson, TX
Dickinson High School in Dickinson, TX
Dickson High School in Ardmore, OK
Diesel Driving Academy - Broussard in Broussard, LA
Diesel Driving Academy - Dallas in Hutchins, TX
Dighton Elem in Dighton, KS
Dighton High in Dighton, KS
Digital Arts And Technology in Albuquerque, NM
Dilley High School in Dilley, TX
Dillingham Int in Sherman, TX
Dime Box School in Dime Box, TX
Dimensions Academy in Norman, OK
Dimensions Academy in Norman, OK
Dimmitt High School in Dimmitt, TX
Dine College - Crownpoint Site in Crownpoint, NM
Dine College - Shiprock Campus in Shiprock, NM
Disciplinary Alternative Education Program in Anahuac, TX
Disciplinary Alternative Education Program in Cleveland, TX
Disciplinary Alternative Educational Progam (Daep) in Bryan, TX
Discipline Alternative Education Placement in New Braunfels, TX
Discipline Alternative Education Program in Houston, TX
Discovery Canyon Campus High School in Colorado Springs, CO
Discovery Hall in St Louis, MO
Discovery High School in Colorado Springs, CO
Discovery Intermediate School in Goddard, KS
Discovery School Of Tulsa in Tulsa, OK
District 9-R Shared School in Durango, CO
District Reassignment & Opportunity Center in Charlotte, TX
Dixie Attendance Center in Hattiesburg, MS
Dixon Correctional Institute in Jackson, LA
Dixon High in Dixon, MO
Dobie High School in Houston, TX
Dobie J H in Cibolo, TX
Dobie Pk Center in Austin, TX
Dobie Pri in Dallas, TX
Dodd City School in Dodd City, TX
Dodge City High School in Dodge City, KS
Dodge Literacy Magnet in Wichita, KS
Dodson High School in Dodson, LA
Dodson Pri in Denver City, TX
Doerre Int in Klein, TX
Dogwood Hills School in Eldon, MO
Doherty High School in Colorado Springs, CO
Dolores High School in Dolores, CO
Don Earl Early Childhood Ctr. in Arnold, MO
Don Jose Gallego in Laredo, TX
Don R Daniel Ninth Grade Campus in Aledo, TX
Don T Durham Int in Southlake, TX
Donaldsonville High School in Donaldsonville, LA
Donaldsonville Primary School in Donaldsonville, LA
Doniphan High in Doniphan, MO
Doniphan West Jr/Sr High School in Highland, KS
Doniphan West Primary in Highland, KS
Donna Alternative Education Program in Donna, TX
Donna High School in Donna, TX
Donna North High School in Donna, TX
Donna Park in Hurst, TX
Donna Shepard Int in Mansfield, TX
Donnelly College - Lansing Correctional Facility in Lansing, KS
Dora High in Dora, MO
Dora High in Dora, NM
Dora Moore Ece-8 School in Denver, CO
Dorie Miller Int in Ennis, TX
Dorsey Attendance Center in Fulton, MS
Douglas County High School in Castle Rock, CO
Douglas Int in Sulphur Springs, TX
Douglass Elem in Kansas City, KS
Douglass High in Douglass, KS
Douglass High School in Oklahoma City, OK
Douglass School in Douglass, TX
Dove Creek High School in Dove Creek, CO
Dove Science Academy (Okc) in Oklahoma City, OK
Dove Science Academy (Tulsa) in Tulsa, OK
Dover High School in Dover, OK
Downsville Charter School in Downsville, LA
Downtown Denver Expeditionary School in Denver, CO
Doyle High School in Livingston, LA
Doyline High School in Doyline, LA
DPT Business School - Denver Branch in Denver, CO
Dr Abraham P Cano Freshman Academy in Harlingen, TX
Dr Al Draper Intermed in Wylie, TX
Dr Cheryl Corbett Salyards in Cypress, TX
Dr James L Burch Int in San Antonio, TX
Dr Leo Cigarroa High School in Laredo, TX
Dr Lorenzo G Lafarelle Jjaep in El Paso, TX
Dr M L Garza-Gonzalez Charter School in Corpus Christi, TX
Dr Pablo Perez in Mcallen, TX
Dr Paul S Saenz J H in San Antonio, TX
Dr Sue A Shook School in El Paso, TX
Dr Wright L Lassiter Jr Early College High School in Dallas, TX
Dr. Emmitt Smith in Carlsbad, NM
Dr. Martin Luther King Charter School For Sci/Tech in New Orleans, LA
Drake Junior High School in Arvada, CO
Drake University - Kansas City Extension in Kansas City, MO
Drake University - Quarterage HotelKansas City Extension in Kansas City, MO
Drane Int in Corsicana, TX
Draw Academy Early Learning Center in Houston, TX
Draw Academy in Houston, TX
Drc Campus in Dallas, TX
Dream Dine in Shiprock, NM
Drew Academy in Houston, TX
Drew Int in Crosby, TX
Drexel High in Drexel, MO
Dripping Springs High School in Dripping Springs, TX
Drummond High School in Drummond, OK
Drumright High School in Drumright, OK
Drury University - Ava Campus in Ava, MO
Drury University - Cabool Campus in Cabool, MO
Drury University - Ft. Leonard Wood Campus in Ft Leonard Wood, MO
Drury University - Lebanon Campus in Lebanon, MO
Drury University - Richwood Valley Campus of Ozarks Technical Community College in Ozark, MO
Drury University - Rolla Campus in Rolla, MO
Drury University - Thayer Campus in Thayer, MO
Dsst College View High School in Denver, CO
Dsst: Cole High School in Denver, CO
Dsst: Green Valley Ranch High School in Denver, CO
Dsst: Stapleton High School in Denver, CO
Dual Immersion Academy School in Grand Junction, CO
Dual Language Academy in Tulsa, OK
Dubach School in Dubach, LA
Dublin High School in Dublin, TX
Dublin Int in Dublin, TX
Dubose Int in Alice, TX
Duke High School in Duke, OK
Dulce Junior/Senior High School in Dulce, NM
Dulles High School in Sugar Land, TX
Dumas High School in Dumas, TX
Dumas Int in Dumas, TX
Dumas J H in Dumas, TX
Dunbar And Br. in St Louis, MO
Dunbar College Preparatory Academy in Lubbock, TX
Dunbar High School in Fort Worth, TX
Dunbar Pri in Lufkin, TX
Duncan High School in Duncan, OK
Duncanville High School in Duncanville, TX
Duplessis Primary School in Gonzales, LA
Durango Big Picture High School in Durango, CO
Durango High School in Durango, CO
Durant High School in Durant, OK
Durant Public School in Durant, MS
Dutchtown High School in Geismar, LA
Dutchtown Primary School in Geismar, LA
Dwight D. Eisenhower Academy Of Global Studies in New Orleans, LA
Dzilth-Na-O-Dith-Hle Community School in Bloomfield, NM
Dzit Dit Lool School Of Empowerment Action And Perseverance in Navajo, NM
E J Moss Int in Lindale, TX
E Rudd Int in Van Vleck, TX
E Tallahatchie Voc Center in Charleston, MS
E W Thompson School in Sedalia, MO
Eads High School in Eads, CO
Eagle Academy in Highlands Ranch, CO
Eagle College Prep-Fox Park in St. Louis, MO
Eagle College Prep-Tower Grove in St. Louis, MO
Eagle County Charter Academy in Edwards, CO
Eagle Glen Intermediate in Raymore, MO
Eagle Lake Int in Eagle Lake, TX
Eagle Lake Pri in Eagle Lake, TX
Eagle Pass High School in Eagle Pass, TX
Eagle Pass J H in Eagle Pass, TX
Eagle Ridge Academy in Brighton, CO
Eagle Valley High School in Gypsum, CO
Eaglecrest High School in Centennial, CO
Eagletown High School in Eagletown, OK
Earhart Environ Magnet Elem in Wichita, KS
Earl Travillion Attendance Center in Hattiesburg, MS
Earlsboro High School in Earlsboro, OK
Early Child. Education Ctr. in Kansas City, MO
Early Child. Education in St Louis, MO
Early Child. Family Educ. Ctr. in St Charles, MO
Early Child. Family Educ. Ctr. in St Charles, MO
Early Child. Family Educ. Ctr. in St Charles, MO
Early Child. Special Ed. Ctr. in Perryville, MO
Early Childhood And Pat Center in Carthage, MO
Early Childhood Center in Castle Rock, CO
Early Childhood Center in Channelview, TX
Early Childhood Center in Corpus Christi, TX
Early Childhood Center in Craig, CO
Early Childhood Center in Eagle Pass, TX
Early Childhood Center in Kahoka, MO
Early Childhood Center in Kerrville, TX
Early Childhood Center in Lindale, TX
Early Childhood Center in Montrose, CO
Early Childhood Center in Nixa, MO
Early Childhood Center in Pasadena, TX
Early Childhood Center in Republic, MO
Early Childhood Center in St Louis, MO
Early Childhood Ctr in Crockett, TX
Early Childhood Ctr. in Desoto, MO
Early Childhood Ctr. in Harrisonville, MO
Early Childhood Ctr. in Independence, MO
Early Childhood Ctr. in Kansas City, MO
Early Childhood Ctr. in Kennett, MO
Early Childhood Ctr. in O'Fallon, MO
Early Childhood Ctr. in Sedalia, MO
Early Childhood Development Ctr in Corpus Christi, TX
Early Childhood Ed Center West in St. Louis, MO
Early Childhood Educ. Ctr. in Kansas City, MO
Early Childhood Education Center in Englewood, CO
Early Childhood Education Center in Tupelo, MS
Early Childhood Learning Center in La Marque, TX
Early Childhood Learning Ctr in Savannah, MO
Early Childhood Lrn Ctr in Sulphur Springs, TX
Early Childhood School in Frisco, TX
Early College Academy At Southridge in Houston, TX
Early College Academy in Albuquerque, NM
Early College Academy in Greeley, CO
Early College Academy in Lafayette, LA
Early College High School At Midland College in Midland, TX
Early College High School in Colorado Springs, CO
Early College High School in Dallas, TX
Early College High School in Harlingen, TX
Early College High School in Laredo, TX
Early College High School in Las Cruces, NM
Early College High School in Roswell, NM
Early College Leadership Academy (Ecla) in Somerset, TX
Early College Of Arvada in Arvada, CO
Early Education Center in Florissant, MO
Early Education Services in Abilene, TX
Early Head Start Nicholson in Picayune, MS
Early Head Start Rosa Street in Picayune, MS
Early High School in Early, TX
Early Learning Center At New Legacy Charter School in Aurora, CO
Early Learning Center in Nixa, MO
Early Learning Center in St. Martinville, LA
Early Learning Center in Washington, MO
Early Learning Wing in Humble, TX
Early Pri in Early, TX
Earnest O Woods Int in Wills Point, TX
East Amory School in Amory, MS
East Antioch Elem in Shawnee Mission, KS
East Ascension High School in Gonzales, LA
East Beauregard High School in Deridder, LA
East Bernard High School in East Bernard, TX
East Bernard J H in East Bernard, TX
East Buchanan High in Gower, MO
East Carter Co. R-Ii High in Ellsinore, MO
East Central Alternative School in Decatur, MS
East Central Choice Progam in Floresville, TX
East Central College - Four Rivers Area Career Center in Washington, MO
East Central College - Rolla North in Rolla, MO
East Central College - Rolla Nursing Facility in Rolla, MO
East Central College - Rolla Technical Center in Rolla, MO
East Central College - Southwest Area Center in Sullivan, MO
East Central Dev Ctr in San Antonio, TX
East Central High School in Moss Point, MS
East Central High School in San Antonio, TX
East Central High School in Tulsa, OK
East Central Jhs in Tulsa, OK
East Central University - Ardmore Higher Education Cente in Ardmore, OK
East Central University - Cameron University Duncan Branch Campus in Duncan, OK
East Central University - Cameron University in Lawton, OK
East Central University - Carl Albert State College in Poteau, OK
East Central University - Choctaw Nation Health Care Center in Talihina, OK
East Central University - Eastern Oklahoma State College Branch Campus in McAlester in McAlester, OK
East Central University - Eastern Oklahoma State College in Wilburton, OK
East Central University - Gordon Cooper Technology Center in Shawnee, OK
East Central University - Northwestern Oklahoma State University Enid in Enid, OK
East Central University - Northwestern Oklahoma State University in Alva, OK
East Central University - Oklahoma Panhandle State University in Goodwell, OK
